103,45 25 89,1 25 33 37 45 89 103 105 109
42,36 82 80,36 42 80 82 90
68,78 108 7,7 8 21 22 51 68 77 78 108 111
50,59 11 63,11 24 50 59 63 69 97
25,109 1 89,1 25 33 37 45 89 103 105 109
55,19 94 79,19 29 30 35 55 79 94 101
2,32 13 15,2 6 13 15 32 39 47 60 64 100 106
69,50 63 24,11 24 50 59 63 69 97
90,42 36 82,36 42 80 82 90
80,90 36 82,36 42 80 82 90
88,83 46 67,28 46 49 53 58 67 73 83 88 114
23,104 4 93,0 4 9 16 23 41 93 104
20,87 17 113,17 20 27 56 62 65 70 76 87 95 96 113
1,103 45 25,1 25 33 37 45 89 103 105 109
73,46 83 88,28 46 49 53 58 67 73 83 88 114
82,90 80 36,36 42 80 82 90
69,97 24 50,11 24 50 59 63 69 97
97,11 59 50,11 24 50 59 63 69 97
100,64 47 6,2 6 13 15 32 39 47 60 64 100 106
19,101 94 29,19 29 30 35 55 79 94 101
45,37 109 105,1 25 33 37 45 89 103 105 109
30,101 79 35,19 29 30 35 55 79 94 101
100,13 15 32,2 6 13 15 32 39 47 60 64 100 106
42,80 90 36,36 42 80 82 90
4,23 93 16,0 4 9 16 23 41 93 104
104,93 41 9,0 4 9 16 23 41 93 104
59,24 63 97,11 24 50 59 63 69 97
82,90 42 80,36 42 80 82 90
0,93 41 104,0 4 9 16 23 41 93 104
11,63 50 59,11 24 50 59 63 69 97
106,47 2 13,2 6 13 15 32 39 47 60 64 100 106
109,105 33 37,1 25 33 37 45 89 103 105 109
46,67 83 53,28 46 49 53 58 67 73 83 88 114
35,19 55 29,19 29 30 35 55 79 94 101
42,90 36 82,36 42 80 82 90
64,100 15 47,2 6 13 15 32 39 47 60 64 100 106
94,19 29 79,19 29 30 35 55 79 94 101
97,11 59 50,11 24 50 59 63 69 97
35,29 30 79,19 29 30 35 55 79 94 101
108,7 111 78,7 8 21 22 51 68 77 78 108 111
5,98 72 74,3 5 10 40 52 72 74 81 84 98 102 107
19,35 30 94,19 29 30 35 55 79 94 101
86,48 57 110,44 48 57 66 75 86 91 92 110 112
100,6 32 60,2 6 13 15 32 39 47 60 64 100 106
45,25 33 37,1 25 33 37 45 89 103 105 109
82,36 80 90,36 42 80 82 90
2,47 106 100,2 6 13 15 32 39 47 60 64 100 106
2,60 106 32,2 6 13 15 32 39 47 60 64 100 106
100,15 60 47,2 6 13 15 32 39 47 60 64 100 106
34,12 61 26,12 14 18 26 31 34 38 43 54 61 71 85 99
55,101 35 79,19 29 30 35 55 79 94 101
51,78 22 108,7 8 21 22 51 68 77 78 108 111
50,11 63 97,11 24 50 59 63 69 97
44,92 86 91,44 48 57 66 75 86 91 92 110 112
52,102 84 3,3 5 10 40 52 72 74 81 84 98 102 107
0,104 4 9,0 4 9 16 23 41 93 104
80,82 42 36,36 42 80 82 90
89,45 37 109,1 25 33 37 45 89 103 105 109
53,49 58 73,28 46 49 53 58 67 73 83 88 114
36,82 80 90,36 42 80 82 90
50,11 63 24,11 24 50 59 63 69 97
101,30 79 19,19 29 30 35 55 79 94 101
98,81 107 72,3 5 10 40 52 72 74 81 84 98 102 107
78,22 21 51,7 8 21 22 51 68 77 78 108 111
3,81 40 84,3 5 10 40 52 72 74 81 84 98 102 107
72,3 81 102,3 5 10 40 52 72 74 81 84 98 102 107
21,8 7 78,7 8 21 22 51 68 77 78 108 111
36,82 90 42,36 42 80 82 90
87,95 96 56,17 20 27 56 62 65 70 76 87 95 96 113
6,32 15 60,2 6 13 15 32 39 47 60 64 100 106
101,29 55 79,19 29 30 35 55 79 94 101
112,48 110 57,44 48 57 66 75 86 91 92 110 112
53,28 67 83,28 46 49 53 58 67 73 83 88 114
44,91 75 66,44 48 57 66 75 86 91 92 110 112
110,66 48 44,44 48 57 66 75 86 91 92 110 112
63,11 69 24,11 24 50 59 63 69 97
94,101 30 35,19 29 30 35 55 79 94 101
65,95 70 27,17 20 27 56 62 65 70 76 87 95 96 113
16,41 4 93,0 4 9 16 23 41 93 104
109,25 33 45,1 25 33 37 45 89 103 105 109
30,101 55 35,19 29 30 35 55 79 94 101
31,71 99 18,12 14 18 26 31 34 38 43 54 61 71 85 99
73,53 88 28,28 46 49 53 58 67 73 83 88 114
48,92 66 91,44 48 57 66 75 86 91 92 110 112
6,15 13 106,2 6 13 15 32 39 47 60 64 100 106
85,38 14 18,12 14 18 26 31 34 38 43 54 61 71 85 99
100,64 39 106,2 6 13 15 32 39 47 60 64 100 106
36,82 90 80,36 42 80 82 90
72,74 5 102,3 5 10 40 52 72 74 81 84 98 102 107
82,80 42 90,36 42 80 82 90
26,61 31 34,12 14 18 26 31 34 38 43 54 61 71 85 99
65,87 76 95,17 20 27 56 62 65 70 76 87 95 96 113
22,68 108 78,7 8 21 22 51 68 77 78 108 111
11,69 59 63,11 24 50 59 63 69 97
51,22 7 77,7 8 21 22 51 68 77 78 108 111
90,82 42 80,36 42 80 82 90
34,85 54 12,12 14 18 26 31 34 38 43 54 61 71 85 99
77,21 22 51,7 8 21 22 51 68 77 78 108 111
69,63 50 59,11 24 50 59 63 69 97
42,80 36 82,36 42 80 82 90
51,108 111 22,7 8 21 22 51 68 77 78 108 111
33,89 25 37,1 25 33 37 45 89 103 105 109
60,47 106 32,2 6 13 15 32 39 47 60 64 100 106
82,42 90 80,36 42 80 82 90
67,49 58 28,28 46 49 53 58 67 73 83 88 114
60,47 6 32,2 6 13 15 32 39 47 60 64 100 106
107,74 52 40,3 5 10 40 52 72 74 81 84 98 102 107
82,36 42 80,36 42 80 82 90
13,60 106 47,2 6 13 15 32 39 47 60 64 100 106
36,82 80 90,36 42 80 82 90
5,52 102 10,3 5 10 40 52 72 74 81 84 98 102 107
114,88 53 73,28 46 49 53 58 67 73 83 88 114
21,78 7 68,7 8 21 22 51 68 77 78 108 111
13,2 64 106,2 6 13 15 32 39 47 60 64 100 106
45,37 33 1,1 25 33 37 45 89 103 105 109
13,2 100 32,2 6 13 15 32 39 47 60 64 100 106
53,73 28 46,28 46 49 53 58 67 73 83 88 114
74,40 98 72,3 5 10 40 52 72 74 81 84 98 102 107
51,22 8 21,7 8 21 22 51 68 77 78 108 111
28,58 53 49,28 46 49 53 58 67 73 83 88 114
7,77 111 8,7 8 21 22 51 68 77 78 108 111
20,95 17 65,17 20 27 56 62 65 70 76 87 95 96 113
0,93 23 4,0 4 9 16 23 41 93 104
